label,Comment,text,,,
Yes,,Ffffffffff. Alright no way I can meet up with you sooner?,,,
Yes,,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,,,
Yes,,Lol your always so convincing.,,,
Yes,,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,,,
Yes,,"I'm back &amp; we're packing the car now, I'll let you know if there's room",,,
Yes,,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,,,
Yes,,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",,,
Yes,,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,,,
Yes,,K tell me anything about you.,,,
Yes,,For fear of fainting with the of all that housework you just did? Quick have a cuppa,,,
No,,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,,,
Yes,,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,,,
Yes,,"Oops, I'll let you know when my roommate's done",,,
Yes,,I see the letter B on my car,,,
Yes,,Anything lor... U decide...,,,
Yes,,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,
Yes,,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,,,
Yes,,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,
No,,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,,,
Yes,,WHO ARE YOU SEEING?,,,
Yes,,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,,,
Yes,,No calls..messages..missed calls,,,
Yes,,Didn't you get hep b immunisation in nigeria.,,,
Yes,,"Fair enough, anything going on?",,,
Yes,,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",,,
Yes,,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,,,
Yes,,What you thinked about me. First time you saw me in class.,,,
Yes,,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",,,
Yes,,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,,
Yes,,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",,,
No,,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,,,
Yes,,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,
No,,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",,,
Yes,,"Sorry, I'll call later in meeting.",,,
Yes,,Tell where you reached,,,
Yes,,Yes..gauti and sehwag out of odi series.,,,
Yes,,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,,,
Yes,,Ha ha ha good joke. Girls are situation seekers.,,,
Yes,,Its a part of checking IQ,,,
Yes,,"Sorry my roommates took forever, it ok if I come by now?",,,
Yes,,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,,
No,,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",,,
Yes,,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
No,,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,
No,,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",,,
Yes,,I plane to give on this month end.,,,
Yes,,Wah lucky man... Then can save money... Hee...,,,
Yes,,Finished class where are you.,,,
Yes,,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
Yes,,K..k:)where are you?how did you performed?,,,
Yes,,U can call me now...,,,
Yes,,I am waiting machan. Call me once you free.,,,
Yes,,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,
Yes,,I like you peoples very much:) but am very shy pa.,,,
Yes,,Does not operate after  &lt;#&gt;  or what,,,
Yes,,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,
Yes,,"Sorry, I'll call later",,,
Yes,,K. Did you call me just now ah? ,,,
Yes,,Ok i am on the way to home hi hi,,,
Yes,,You will be in the place of that man,,,
Yes,,Yup next stop.,,,
Yes,,"I call you later, don't have network. If urgnt, sms me.",,,
Yes,,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,,,
Yes,,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,,,
Yes,,I'm really not up to it still tonight babe,,,
Yes,,"Ela kano.,il download, come wen ur free..",,,
Yes,,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,,,
Yes,,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,,,
Yes,,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,
No,,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
Yes,,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,
No,,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
Yes,,Watching telugu movie..wat abt u?,,,
Yes,,i see. When we finish we have loads of loans to pay,,,
Yes,,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",,,
Yes,,Please don't text me anymore. I have nothing else to say.,,,
Yes,,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,,,
Yes,,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,
Yes,,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
Yes,,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,
Yes,,Umma my life and vava umma love you lot dear,,,
Yes,,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,
Yes,,"Aight, I'll hit you up when I get some cash",,,
Yes,,How would my ip address test that considering my computer isn't a minecraft server,,,
Yes,,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,
Yes,,Dont worry. I guess he's busy.,,,
Yes,,What is the plural of the noun research?,,,
Yes,,Going for dinner.msg you after.,,,
Yes,,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,,,
No,,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,,,
Yes,,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",,,
Yes,,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
No,,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,,,
Yes,,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,
Yes,,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,
No,,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,
No,,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",,,
Yes,,here is my new address -apples&pairs&all that malarky,,,
No,,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,,,
Yes,,I am going to sao mu today. Will be done only at 12 ,,,
Yes,,ÌÏ predict wat time Ì_'ll finish buying?,,,
Yes,,"Good stuff, will do.",,,
Yes,,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,,
Yes,,Are you there in room.,,,
Yes,,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,
Yes,,K..k:)how much does it cost?,,,
Yes,,I'm home.,,,
Yes,,"Dear, will call Tmorrow.pls accomodate.",,,
Yes,,First answer my question.,,,
No,,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
No,,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,,,
Yes,,I only haf msn. It's yijue@hotmail.com,,,
Yes,,He is there. You call and meet him,,,
Yes,,No no. I will check all rooms befor activities,,,
No,,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,,,
Yes,,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,,,
Yes,,"K, text me when you're on the way",,,
Yes,,"Sir, Waiting for your mail.",,,
Yes,,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,
Yes,,I know you are. Can you pls open the back?,,,
Yes,,Yes see ya not on the dot,,,
Yes,,Whats the staff name who is taking class for us?,,,
No,,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",,,
Yes,,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,
Yes,,K..i deleted my contact that why?,,,
Yes,,Sindu got job in birla soft ..,,,
Yes,,The wine is flowing and i'm i have nevering..,,,
Yes,,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,
Yes,,Ok... Ur typical reply...,,,
Yes,,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
Yes,,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",,,
Yes,,Aaooooright are you at work?,,,
Yes,,I'm leaving my house now...,,,
Yes,,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,
No,,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,,,
No,,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
Yes,,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,
Yes,,New car and house for my parents.:)i have only new job in hand:),,,
Yes,,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,,
No,,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,,,
No,,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,
Yes,,I place all ur points on e cultures module already.,,,
No,,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,,,
Yes,,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",,,
Yes,,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,
Yes,,Yes :)it completely in out of form:)clark also utter waste.,,,
Yes,,"Sir, I need AXIS BANK account no and bank address.",,,
Yes,,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",,,
Yes,,What time you coming down later? ,,,
Yes,,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",,,
Yes,,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,
Yes,,Let me know when you've got the money so carlos can make the call,,,
Yes,,U still going to the mall?,,,
Yes,,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,
Yes,,Text her. If she doesnt reply let me know so i can have her log in,,,
Yes,,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
Yes,,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
Yes,,Lol no. U can trust me.,,,
Yes,,ok. I am a gentleman and will treat you with dignity and respect.,,,
Yes,,"He will, you guys close?",,,
Yes,,Going on nothing great.bye,,,
Yes,,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
Yes,,"Haha awesome, be there in a minute",,,
No,,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
Yes,,Have you got Xmas radio times. If not i will get it now,,,
Yes,,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,
No,,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,
Yes,,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,
Yes,,Hi :)finally i completed the course:),,,
Yes,,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,
Yes,,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,
Yes,,Gud mrng dear hav a nice day,,,
Yes,,Did u got that persons story,,,
Yes,,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,,,
Yes,,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,,
Yes,,"Found it, ENC  &lt;#&gt; , where you at?",,,
Yes,,I sent you  &lt;#&gt;  bucks,,,
Yes,,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,
Yes,,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
Yes,,Goodmorning sleeping ga.,,,
Yes,,U call me alter at 11 ok.,,,
Yes,,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,,,
Yes,,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
Yes,,"Aight yo, dats straight dogg",,,
Yes,,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,
Yes,,Both :) i shoot big loads so get ready!,,,
Yes,,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,
Yes,,Home so we can always chat,,,
Yes,,K:)k:)good:)study well.,,,
Yes,,Yup... How Ì_ noe leh...,,,
Yes,,Sounds great! Are you home now?,,,
Yes,,Finally the match heading towards draw as your prediction.,,,
Yes,,Tired. I haven't slept well the past few nights.,,,
Yes,,Easy ah?sen got selected means its good..,,,
Yes,,I have to take exam with march 3,,,
Yes,,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,
Yes,,Ok no prob. Take ur time.,,,
Yes,,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,
Yes,,"Sorry, I'll call later",,,
Yes,,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,
No,,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",,,
Yes,,Would really appreciate if you call me. Just need someone to talk to.,,,
No,,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",,,
Yes,,Hey company elama po mudyadhu.,,,
Yes,,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,,
Yes,,Dear good morning now only i am up,,,
Yes,,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,,,
Yes,,Dear we are going to our rubber place,,,
Yes,,"Sorry battery died, yeah I'm here",,,
Yes,,Yes:)here tv is always available in work place..,,,
No,,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,,,
Yes,,I have printed it oh. So  &lt;#&gt;  come upstairs,,,
Yes,,Or ill be a little closer like at the bus stop on the same street,,,
Yes,,Where are you?when wil you reach here?,,,
Yes,,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
No,,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,,,
Yes,,Tomarrow final hearing on my laptop case so i cant.,,,
Yes,,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,,
Yes,,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",,,
Yes,,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",,,
Yes,,U don't remember that old commercial?,,,
Yes,,Too late. I said i have the website. I didn't i have or dont have the slippers,,,
Yes,,I asked you to call him now ok,,,
Yes,,Kallis wont bat in 2nd innings.,,,
Yes,,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,,,
No,,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,
Yes,,Ranjith cal drpd Deeraj and deepak 5min hold,,,
Yes,,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
Yes,,What you doing?how are you?,,,
Yes,,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",,,
Yes,,"I'm back, lemme know when you're ready",,,
Yes,,Don't necessarily expect it to be done before you get back though because I'm just now headin out,,,
Yes,,Mmm so yummy babe ... Nice jolt to the suzy,,,
Yes,,Where are you lover ? I need you ...,,,
No,,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,,,
Yes,,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?,,,
Yes,,Yup,,,
Yes,,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,,,
Yes,,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,,,
No,,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,,,
Yes,,Why you Dint come with us.,,,
Yes,,Same. Wana plan a trip sometme then,,,
Yes,,"Not sure yet, still trying to get a hold of him",,,
No,,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,,,
Yes,,The evo. I just had to download flash. Jealous?,,,
No,,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,,,
Yes,,"Come to mu, we're sorting out our narcotics situation",,,
Yes,,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",,,
No,,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
Yes,,"Usf I guess, might as well take 1 car",,,
Yes,,No objection. My bf not coming.,,,
Yes,,Thanx...,,,
Yes,,Tell rob to mack his gf in the theater,,,
Yes,,"Awesome, I'll see you in a bit",,,
Yes,,Just sent it. So what type of food do you like?,,,
Yes,,All done? All handed in? Celebrations in full swing yet?,,,
Yes,,You got called a tool?,,,
Yes,,\Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
Yes,,Ok. I asked for money how far,,,
Yes,,Okie...,,,
Yes,,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
Yes,,"K, I might come by tonight then if my class lets out early",,,
Yes,,Ok..,,,
Yes,,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,,,
Yes,,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",,,
Yes,,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,,
Yes,,Hey you told your name to gautham ah?,,,
Yes,,Haf u found him? I feel so stupid da v cam was working.,,,
Yes,,Oops. 4 got that bit.,,,
Yes,,Are you this much buzy,,,
Yes,,I accidentally deleted the message. Resend please.,,,
No,,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,,,
Yes,,Unless it's a situation where YOU GO GURL would be more appropriate,,,
Yes,,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,,,
Yes,,I cant pick the phone right now. Pls send a message,,,
Yes,,Need a coffee run tomo?Can't believe it's that time of week already,,,
Yes,,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",,,
Yes,,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",,,
Yes,,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,,,
Yes,,He is a womdarfull actor,,,
No,,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",,,
Yes,,Yup... From what i remb... I think should be can book... ,,,
Yes,,Jos ask if u wana meet up?,,,
Yes,,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,,,
No,,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",,,
Yes,,Where are the garage keys? They aren't on the bookshelf,,,
Yes,,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
No,,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",,,
Yes,,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,,,
Yes,,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",,,
Yes,,You made my day. Do have a great day too.,,,
Yes,,K.k:)advance happy pongal.,,,
Yes,,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",,,
Yes,,"Not really dude, have no friends i'm afraid :(",,,
No,,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,,,
Yes,,"Coffee cake, i guess...",,,
Yes,,"Merry Christmas to you too babe, i love ya *kisses*",,,
Yes,,Hey... Why dont we just go watch x men and have lunch... Haha ,,,
Yes,,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,,,
Yes,,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,,,
Yes,,No problem. How are you doing?,,,
Yes,,No calls..messages..missed calls,,,
Yes,,Hi da:)how is the todays class?,,,
Yes,,"I'd say that's a good sign but, well, you know my track record at reading women",,,
Yes,,"Cool, text me when you're parked",,,
Yes,,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,,,
Yes,,K.k:)apo k.good movie.,,,
Yes,,Maybe i could get book out tomo then return it immediately ..? Or something.,,,
